题目编号,章节,题目代码,问题,正确答案,选项 A,选项 B,选项 C,选项 D
LY0001,1.1.1,MC2-0001,我国专门针对无线电管理的行政法规及其制定机构是：,BC,工业和信息化部,《中华人民共和国无线电管理条例》,国务院和中央军委,《中华人民共和国无线电管理办法》
LY0002,1.1.1,MC2-0002,我国专门针对业余无线电台的管理文件及其制定机构分别是：,AB,《业余无线电台管理办法》,工业和信息化部,国务院,《业余无线电台管理暂行规定》
LY0004,1.1.1,MC1-0003,我国依法负责对业余无线电台实施监督管理的机构是：,C,国家和地方公安部门,在国家或地方民政部门注册的业余无线电协会,国家无线电管理机构和省、自治区、直辖市无线电管理机构,国家体育管理机构和地方体育管理机构
LK0007,1.1.1,MC1-0004,我国对无线电管理术语“业余业务”、“卫星业余业务”和“业余电台”做出具体定义的法规文件是：,C,《中华人民共和国电信条例》,《无线电台执照管理规定》,《中华人民共和国无线电频率划分规定》,《中华人民共和国无线电管理条例》
LX,1.1.1,MC1-0005,最新发布的《业余无线电台管理办法》自何时开始施行：,C,自 2025 年 3 月 1 日起施行,自 2025 年 12 月 1 日起施行,自 2024 年 3 月 1 日起施行,自 2024 年 12 月 1 日起施行
LY0113,1.1.2,MC1-0006,将某个特定的频段列入频率划分表，规定该频段可在指定的条件下供一种或多种地面或空间无线电通信业务或射电天文业务使用，这个过程称为：,D,分配,授权,指配,划分
LY0114,1.1.2,MC1-0007,将无线电频率或频道规定由一个或多个部门，在指定的区域内供地面或空间无线电通信业务在指定条件下使用，这个过程称为：,B,授权,分配,指配,划分
LY0115,1.1.2,MC1-0008,将无线电频率或频道批准给无线电台在规定条件下使用，这个过程称为：,D,分配,划分,授权,指配
LK0140,1.1.2,MC1-0009,在频率划分表中，一个频段被标明划分给多种业务时，这些业务被分为下述类别：,A,主要业务和次要业务,民用业务和军用业务,安全业务和一般业务,业余业务和非业余业务
LK0125,1.1.2,MC1-0010,辐射（radiation）是指任何源的能量流以无线电波的形式向外发出。正确的说法是：,C,沿电源线窜入接收机的差模干扰是一种辐射,射频电路中变压器内磁芯里的磁场是一种辐射,闪电产生的电磁波干扰是一种辐射,射频电路中电容器内极板间的电场是一种辐射
LK0126,1.1.2,MC1-0011,发射（emission）是指：由无线电发信电台产生的辐射或辐射产物。正确的说法是：,D,闪电产生的电磁波干扰是一种发射,无线电接收机本地振荡器辐射的能量是一种发射,医用高频电疗机向周围发送的无线电波能量是一种发射,业余电台向周围发送的杂散产物是一种发射
LX,1.1.2,MC4-0012,下列关于无线电的一般术语，说法正确的是：,ABCD,无线电定位是指用于除无线电导航以外的无线电测定,无线电测定是指利用无线电波的传播特性测定目标的位置、速度和/或其他特性，或获得与这些参数有关的信息,无线电测向是指利用接收无线电波来确定一个电台或目标的方向的无线电测定,无线电导航是指用于导航（包括障碍物告警）的无线电测定
LX,1.1.2,MC1-0013,关于业余无线电台，下列说法正确的是：,C,一个业余无线电台只能包含一个收信机,一个业余无线电台只能包含一个发信机和一个收信机,业余无线电台是指为开展业余业务（含卫星业余业务）使用的一个或者多个发信机、收信机，或者发信机与收信机的组合（包括附属设备）,一个业余无线电台只能包含一个发信机
LX,1.1.2,MC1-0014,关于业余业务、卫星业余业务，下列说法正确的是：,AB,卫星业余业务是指利用地球卫星上的空间电台开展与业余业务相同目的的无线电通信业务,业余业务是指供业余无线电爱好者进行自我训练、相互通信和技术研究的无线电通信业务,业余无线电爱好者可以在业余业务、卫星业余业务以及其他的无线电业务相互通信,业余无线电台可以在业余业务、卫星业余业务以及其他的无线电业务进行通信
LX,1.1.2,MC2-0015,关于业余无线电爱好者的定义，下列说法正确的是：,CD,其兴趣纯系个人爱好可涉及谋取利润,只有成年人能成为业余无线电爱好者,业余无线电爱好者系指经正式批准的、对无线电技术有兴趣的人,其兴趣纯系个人爱好而不涉及谋取利润
LX,1.1.2,MC1-0016,关于发射类别，下列说法正确的是：,BD,一个业余无线电台只能包含一个发信机和一个收信机,是指用标准符号标示的某发射的一组特性,一个业余无线电台只能包含一个收信机,标示的特性例如主载波调制方式，调制信号，被发送信息的类型以及其他适用的信号特性
LX,1.1.2,MC1-0017,关于单边带发射，下列说法正确的是：,A,单边带发射是只传送一个边带的调幅发射,单边带发射是不传送载波的调幅发射,单边带发射是只传送一个边带的调频发射,单边带发射是不传送载波的调频发射
LX,1.1.2,MC3-0018,关于干扰的定义，下列说法正确的是：,ABD,若不存在这种无用能量，则此后果可以避免,由于一种或多种发射、辐射、感应或其组合所产生的无用能量对无线电通信系统的接收产生的影响,不会对无线电通信系统的接收产生的影响,表现为性能下降、误解或信息丢失
LX,1.1.2,MC2-0019,关于有害干扰的定义，下列说法正确的是：,AB,危害无线电导航或其他安全业务的正常运行的干扰,严重地损害、阻碍、或一再阻断按规定正常开展的无线电通信业务的干扰,使用业余无线电台时，只要不对其他业余无线电台产生干扰即可,产生有害干扰不会受到处罚
LX,1.1.2,MC3-0020,关于次要业务台站，下列说法正确的是：,ACD,不得对业经指配或将来可能指配频率的主要业务电台产生有害干扰,使用业余无线电台时，只要不对其他业余无线电台产生干扰即可,不得对来自业经指配或将来可能指配频率的主要业务电台的有害干扰提出保护要求,可要求保护不受来自将来可能指配频率的同一业务或其他次要业务电台的有害干扰
LK0177,1.1.2,MC1-0021,协调国际无线电管理的国际组织是：,A,国际电信联盟,联合国大会,联合国科教文组织,国际业余无线电联盟
LK0178,1.1.2,MC1-0022,国际业余无线电联盟支持会员协会在发展业余无线电时把它看成一种：,C,拉动经济的措施,国防后备队伍,国家资源,休闲娱乐手段
LK0182,1.1.2,MC1-0023,下述通信不属于电信（telecommunication）范畴：,A,邮政通信,光通信,有线通信,无线电通信
LK0183,1.1.2,MC1-0024,关于无线电通信的正确说法：,A,无线电通信是指利用无线电波进行的符号、信号、文字、图像、声音或其他信息的传输、发射或接收,产生无线电波并用其加热属于无线电通信的一种应用,利用无线电波进行的符号、信号、文字、图像、声音以外的信息传输不属于无线电通信,无线电通信包括利用光在内的所有电磁波所进行的各种通信
LK0184,1.1.2,MC1-0025,关于地面无线电通信（terrestrial radio communication）的正确说法是：,A,航空通信属于地面无线电通信,依靠电离层反射的天波所进行的通信不属于地面无线电通信,业余电台之间所进行的任何无线电通信都属于地面无线电通信,水上通信不属于地面无线电通信
LK0187,1.1.2,MC1-0026,无线电波是指：,B,"频率为 3,000GHz 以下的所有电磁波","频率为 3,000GHz 以下的在空间传播的电磁波",频率为 30Hz 至 30GHz 的在空间传播的电磁波,"频率为 3,000Hz 至 3,000MHz 的电磁波"
LY0023,1.2.1,MC3-0027,个人设置、使用业余无线电台应当向无线电管理机构提交的材料为：,BCD,本人写的申请书，操作证书的原件、复印件,一份申请表,无线电发射设备相关说明材料,身份证明复印件；申请人为未成年人的，还应当提交其监护人身份证明复印件，以及申请人与监护人关系的说明材料
LX,1.2.1,MC3-0028,单位设置、使用业余无线电台应当向无线电管理机构提交的材料为：,ACD,单位营业执照等复印件，以及业余无线电台技术负责人为本单位工作人员的说明材料,业余无线电台技术负责人写的申请书，操作证书的原件、复印件,无线电发射设备相关说明材料,一份申请表
LX,1.2.1,MC4-0029,设置、使用业余无线电台，下列哪些条件符合规定：,ABCD,使用的自制、改装、拼装等未取得型号核准的无线电发射设备的无线电发射频率范围仅限于业余业务频段,使用的无线电发射设备依法取得型号核准,使用的自制、改装、拼装等未取得型号核准的无线电发射设备符合国家标准和国家无线电管理规定,型号核准证载明的频率范围包含业余业务频段
LX,1.2.1,MC1-0030,设置、使用业余无线电台拟使用自制、改装、拼装等未取得型号核准的无线电发射设备的，无线电管理机构开展对该设备进行技术检测时：,D,根据业余无线电台类型进行收费,根据爱好者操作类别进行收费,收取技术检测费,不得收取任何费用
LX,1.2.1,MC2-0031,设置、使用 15 瓦以上短波业余无线电台以及涉及国家主权、安全的其他重要业余无线电台的，下列说法正确的是：,BC,持有 A 类业余无线电台操作技术能力验证证书即可申请,可以委托电台所在地或者申请人住所地的省、自治区、直辖市无线电管理机构对业余无线电台的使用方式、技术条件、安装环境等进行现场核查,由国家无线电管理机构作出许可决定,由省、自治区、直辖市无线电管理机构作出许可决定
LX,1.2.1,MC4-0032,业余无线电台执照载明了哪些事项：,ABCD,业余中继台、业余信标台执照还应当载明工作模式等事项,执照编号、颁发日期、有效期、发证机关，以及特别规定事项,电台呼号、台址/设置区域、使用频率、发射功率,电台设置、使用人，操作技术能力类别、编号
